#start_time:	2021-11-01 17:59:41.717772
#pipeline: BasicModule.getBasicStats LightDarkModule.saveEqualisedImage ClassificationModule.byExampleWithFeatures:pen_markings LightDarkModule.minimumPixelIntensityNeighborhoodFiltering LightDarkModule.getIntensityThresholdPercent:darktissue BubbleRegionByRegion.detectSmoothness MorphologyModule.fillSmallHoles MorphologyModule.removeSmallObjects LocalTextureEstimationModule.estimateGreyComatrixFeatures:background BrightContrastModule.getContrast:background BrightContrastModule.getBrightnessGray:background BrightContrastModule.getBrightnessByChannelinColorSpace:RGB_background BasicModule.finalProcessingSpur BasicModule.finalProcessingArea HistogramModule.compareToTemplates HistogramModule.getHistogram LocalTextureEstimationModule.estimateGreyComatrixFeatures:final BrightContrastModule.getContrast BrightContrastModule.getBrightnessGray BrightContrastModule.getBrightnessByChannelinColorSpace:RGB BrightContrastModule.getBrightnessByChannelinColorSpace:YUV DeconvolutionModule.seperateStains SaveModule.saveFinalMask SaveModule.saveThumbnails BasicModule.finalComputations
#outdir:	/sbgenomics/workspace/HistoQC/histoqc_output_wustl_marked_v2.1-no-blur-no-fat-no-cover-with-pen
#config_file:	/sbgenomics/workspace/HistoQC/histoqc/config/config_v2.1-no-blur-no-fat-no-cover-with-pen.ini
#command_line_args:	-o histoqc_output_wustl_marked_v2.1-no-blur-no-fat-no-cover-with-pen -c histoqc/config/config_v2.1-no-blur-no-fat-no-cover-with-pen.ini -n 3 /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0003-T1-X1P6_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0004-T1-X1P5_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0005-T1-X1P2_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0006-T1-X1P2_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0008-T1-X2P2_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0009-T1-X1P4_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0010-T2-X2P7_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0011-T1-X2P4_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0012-T1-X1P5_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0013-T1-X1P3_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0014-T1-X1P4_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0015-T1-X1P7_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0107-T1_X1P1_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0108-T1_X1P1_PDX_40X.svs /sbgenomics/output-files/whitebr/PDTC-Image/WUSTL/Datasets/Dataset_PDX/pen-marked-files//WU-0110-T1_X1P1_PDX_40X.svs
#dataset:filename	comments	base_mag	type	levels	height	width	mpp_x	mpp_y	comment	pen_markings	brightestPixels	dark	flat_areas	small_tissue_filled_num_regions	small_tissue_filled_mean_area	small_tissue_filled_max_area	small_tissue_filled_percent	small_tissue_removed_num_regions	small_tissue_removed_mean_area	small_tissue_removed_max_area	small_tissue_removed_percent	background_contrast	background_contrast_std	background_dissimilarity	background_dissimilarity_std	background_homogeneity	background_homogeneity_std	background_ASM	background_ASM_std	background_energy	background_energy_std	background_correlation	background_correlation_std	background_tenenGrad_contrast	background_michelson_contrast	background_rms_contrast	background_grayscale_brightness	background_grayscale_brightness_std	background_chan1_brightness	background_chan1_brightness_std	background_chan2_brightness	background_chan2_brightness_std	background_chan3_brightness	background_chan3_brightness_std	spur_pixels	areaThresh	template1_MSE_hist	template2_MSE_hist	template3_MSE_hist	template4_MSE_hist	final_contrast	final_contrast_std	final_dissimilarity	final_dissimilarity_std	final_homogeneity	final_homogeneity_std	final_ASM	final_ASM_std	final_energy	final_energy_std	final_correlation	final_correlation_std	tenenGrad_contrast	michelson_contrast	rms_contrast	grayscale_brightness	grayscale_brightness_std	chan1_brightness	chan1_brightness_std	chan2_brightness	chan2_brightness_std	chan3_brightness	chan3_brightness_std	chan1_brightness_YUV	chan1_brightness_std_YUV	chan2_brightness_YUV	chan2_brightness_std_YUV	chan3_brightness_YUV	chan3_brightness_std_YUV	deconv_c0_mean	deconv_c0_std	deconv_c1_mean	deconv_c1_std	deconv_c2_mean	deconv_c2_std	pixels_to_use	warnings
WU-0004-T1-X1P5_PDX_40X.svs	 	40.0	aperio	4	28939	125495	0.25330000000000003	0.25330000000000003	Aperio Image Library v12.0.15 ..128016x29039 [0,100 125495x28939] (240x240) JPEG/RGB Q=70|AppMag = 40|StripeWidth = 2032|ScanScope ID = PATH-APERIOAT2|Filename = WU-0004-T1-X1P5_PDX_40X|Date = 02/19/21|Time = 09:37:05|Time Zone = GMT-06:00|User = 00000000-0000-0000-0000-000000000000|Parmset = None FP not on edge|MPP = 0.2533|Left = 17.228867|Top = 18.809271|LineCameraSkew = 0.000612|LineAreaXOffset = 0.002948|LineAreaYOffset = 0.007999|Focus Offset = 0.000000|DSR ID = path-AperioCopath|ImageID = 161989|Exposure Time = 45|Exposure Scale = 0.000001|DisplayColor = 0|SessonMode = NR|OriginalWidth = 128016|OriginalHeight = 29039|ICC Profile = AT2	0.03139539606395514	0.9009244138914255	0.0006319013175877242	0.046863787688072756	30	41.766666666666666	427	-0.0038661742154257883	1465	2.4389078498293517	80	0.010982154383333387	0.023480666164933408	0.11868407523401515	0.016621869868637108	0.07898983602371709	0.9903623629959647	0.05717021875802616	0.9710723837638148	0.13072582204842292	0.9812011166064686	0.09119623092010994	0.925116125342736	0.24479605259436357	5.775464096882378e-05	0.7363381038861684	0.14652309288699789	0.9324905738552217	0.1036026576046443	236.39202565983655	33.01321316415823	238.24745301616304	24.370584890055582	237.3032315201561	28.85644668578517	0.05787620465359122	0.048850404090384325	0.002264446624547331	0.0005793128496921926	0.003002175270535596	0.0001242472689323286	1.5464976851851853	0.6873934632310843	0.8433819444444445	0.30320855443936756	0.647267817789509	0.11854533970451789	0.1927320715717164	0.20941901736546292	0.4023479219195857	0.17563661719216567	0.13148364632649892	0.1984934631323678	0.00022934609903988283	0.7164715324846631	0.14395604350458885	0.7527937456175087	0.14395604350458885	201.297474171207	31.220799839588125	187.55342112290657	39.741185081602225	208.19659361658591	26.60904750149496	0.760847900582854	0.1386594965458024	0.027365962914233134	0.019506596427723424	0.025049902736474464	0.026792931578777334	0.023210409048498585	0.0165112605648773	0.0022516673634137186	0.0028912465297007872	0.010782163190027796	0.0066862493441829625	288341	
WU-0005-T1-X1P2_PDX_40X.svs	 	40.0	aperio	4	33863	119519	0.25330000000000003	0.25330000000000003	Aperio Image Library v12.0.15 ..121920x33963 [0,100 119519x33863] (240x240) JPEG/RGB Q=70|AppMag = 40|StripeWidth = 2032|ScanScope ID = PATH-APERIOAT2|Filename = WU-0005-T1-X1P2_PDX_40X|Date = 02/19/21|Time = 09:40:17|Time Zone = GMT-06:00|User = 00000000-0000-0000-0000-000000000000|Parmset = None FP not on edge|MPP = 0.2533|Left = 14.906868|Top = 21.013161|LineCameraSkew = 0.000612|LineAreaXOffset = 0.002948|LineAreaYOffset = 0.007999|Focus Offset = 0.000000|DSR ID = path-AperioCopath|ImageID = 161990|Exposure Time = 45|Exposure Scale = 0.000001|DisplayColor = 0|SessonMode = NR|OriginalWidth = 121920|OriginalHeight = 33963|ICC Profile = AT2	0.008062242669480746	0.8931455434513904	0.0005109288638995846	0.05089207440442778	38	14.921052631578947	139	-0.001427039760800941	322	2.7142857142857144	64	0.002196570434765177	0.02319988425925926	0.14795000535325184	0.014685995370370368	0.07861087068551209	0.9914756352010947	0.05578874614357844	0.9754743693670159	0.11589128747064252	0.9840890479306361	0.08392326918078388	0.9051450714656073	0.2781923796959346	3.050575880044553e-05	0.850993494295382	0.13970605020130744	0.9468582457836136	0.061273055929434495	241.05336392646058	18.370159442725488	241.5774370247546	14.806577527471621	241.33861848736754	16.58167942350508	0.01701429906377272	0.06993214849435259	0.0017665046191180816	0.0004727467909243781	0.002763600665919725	0.0011611211719903315	0.832221064814815	0.3906340147776665	0.5869270833333333	0.205882660335357	0.7309546133945031	0.0887870431098589	0.2624678524734226	0.20312786536674018	0.48690025762420897	0.15936119853622288	0.15466955479952016	0.2027630451264436	0.00014922349496278506	0.6589225461451268	0.1316146733827632	0.698573198082799	0.1316146733827632	193.22218242729465	28.165924297002785	171.28001608939533	36.69597122350648	201.70219465964317	23.015563053179896	0.7110151065938645	0.12616512514258224	0.039356032392312966	0.020408001784356988	0.0409857336984154	0.02780427249341274	0.02645430040763844	0.013867414597306678	0.005531948653797655	0.004159872693065421	0.01159930798564178	0.004890349323885222	362972	
WU-0003-T1-X1P6_PDX_40X.svs	 	40.0	aperio	4	31566	143424	0.25330000000000003	0.25330000000000003	Aperio Image Library v12.0.15 ..146304x31666 [0,100 143424x31566] (240x240) JPEG/RGB Q=70|AppMag = 40|StripeWidth = 2032|ScanScope ID = PATH-APERIOAT2|Filename = WU-0003-T1-X1P6_PDX_40X|Date = 02/19/21|Time = 09:33:16|Time Zone = GMT-06:00|User = 00000000-0000-0000-0000-000000000000|Parmset = None FP not on edge|MPP = 0.2533|Left = 16.782377|Top = 18.476414|LineCameraSkew = 0.000612|LineAreaXOffset = 0.002948|LineAreaYOffset = 0.007999|Focus Offset = 0.000000|DSR ID = path-AperioCopath|ImageID = 161988|Exposure Time = 45|Exposure Scale = 0.000001|DisplayColor = 0|SessonMode = NR|OriginalWidth = 146304|OriginalHeight = 31666|ICC Profile = AT2	0.013359726940215255	0.8467645609892362	0.00020953723701211402	0.06137134935830746	44	49.95454545454545	509	-0.003505565364121166	1229	1.631407648494711	62	0.0031865810766352753	0.0391202876984127	0.191808265889385	0.023888806216931218	0.10588234135411582	0.9885632975786468	0.05486008414264274	0.9650401067221432	0.14096493063472323	0.9775178647518824	0.09746245848050383	0.8702646332445066	0.3182991271449302	2.587704603072352e-05	0.6590167093864359	0.13738386892837762	0.9387212050298801	0.07415199346317816	238.77035966768423	23.48201808567768	239.57191956025966	17.48667900161533	239.1879972236697	20.43744023429815	0.023597089267150984	0.08402569579161201	0.001759677521537482	0.000573339898027103	0.002826720560308612	0.001427685184874613	0.8972893518518519	0.4346895871558381	0.6078310185185185	0.22126661589810528	0.7248121993883023	0.09415869693179414	0.2689740862643604	0.20605689073109282	0.49189983786501346	0.16434304297028796	0.1369531826528566	0.20752916526083862	0.00012682618586005214	0.6590167093864359	0.12864481605763112	0.6923816139471178	0.12864481605763112	192.166501170359	27.44165627503198	169.78864190223894	35.64285068994266	197.71339307839176	23.70482469800673	0.7045609547352478	0.12367579118999189	0.03483441447691605	0.018154166259453826	0.04301596424092662	0.023952861066396578	0.026458762355273946	0.014006671931641677	0.005049290583664098	0.0036269271096104646	0.013779868207604793	0.006189363877884201	560939	
WU-0008-T1-X2P2_PDX_40X.svs	 	40.0	aperio	4	36462	139439	0.25330000000000003	0.25330000000000003	Aperio Image Library v12.0.15 ..142240x36562 [0,100 139439x36462] (240x240) JPEG/RGB Q=70|AppMag = 40|StripeWidth = 2032|ScanScope ID = PATH-APERIOAT2|Filename = WU-0008-T1-X2P2_PDX_40X|Date = 02/19/21|Time = 09:43:40|Time Zone = GMT-06:00|User = 00000000-0000-0000-0000-000000000000|Parmset = None FP not on edge|MPP = 0.2533|Left = 14.516331|Top = 19.487158|LineCameraSkew = 0.000612|LineAreaXOffset = 0.002948|LineAreaYOffset = 0.007999|Focus Offset = 0.000000|DSR ID = path-AperioCopath|ImageID = 161991|Exposure Time = 45|Exposure Scale = 0.000001|DisplayColor = 0|SessonMode = NR|OriginalWidth = 142240|OriginalHeight = 36562|ICC Profile = AT2	0.028318492055511735	0.8875340127484167	6.084957064178553e-05	0.0918275897677987	39	10.256410256410257	121	-0.0008121975833061956	85	6.4941176470588236	58	0.0011199230661546045	0.06552058661668878	0.36127140993556933	0.03280299402409617	0.1535899477833761	0.9867396061386139	0.05796549535954538	0.956030474280738	0.16165133293908354	0.9716137499558792	0.10953170854785448	0.9165998250244733	0.24650271400184437	2.7033748491557403e-05	0.8190217917605811	0.20390426410386975	0.9391858236708781	0.059669278428755676	238.2891319656648	21.116108504787377	239.6680282505541	14.431218206676292	241.29593734984175	6.160018935020335	0.07707900450705718	0.00948084244811731	0.0009710319938601444	0.0009080711651362391	0.001468456599877181	0.0008859818472520972	2.3792650462962963	1.22585697988485	1.0649571759259258	0.45225446429943633	0.5937808408946277	0.15907556884952653	0.1924735296639232	0.26269089136438456	0.3768514137302129	0.22462533613433522	0.09853363452949257	0.20516125139358402	0.00022562240908465805	0.8190217917605811	0.2009631242337281	0.6431428317280048	0.2009631242337281	178.5179278442595	44.381593840458365	157.0809008136295	55.01375602004278	189.88468767913403	35.76049349128723	0.6558047199939427	0.19408214619187	0.043719689902764536	0.027339061703318457	0.03883344545422837	0.025559933130868514	0.03654335924452622	0.0251763110682986	0.005764341852172686	0.0050883043447200295	0.014219827175852757	0.007372485920203159	450082	
WU-0009-T1-X1P4_PDX_40X.svs	 	40.0	aperio	4	34191	119519	0.25330000000000003	0.25330000000000003	Aperio Image Library v12.0.15 ..121920x34291 [0,100 119519x34191] (240x240) JPEG/RGB Q=70|AppMag = 40|StripeWidth = 2032|ScanScope ID = PATH-APERIOAT2|Filename = WU-0009-T1-X1P4_PDX_40X|Date = 02/19/21|Time = 09:47:40|Time Zone = GMT-06:00|User = 00000000-0000-0000-0000-000000000000|Parmset = None FP not on edge|MPP = 0.2533|Left = 20.962452|Top = 18.386545|LineCameraSkew = 0.000612|LineAreaXOffset = 0.002948|LineAreaYOffset = 0.007999|Focus Offset = 0.000000|DSR ID = path-AperioCopath|ImageID = 161992|Exposure Time = 45|Exposure Scale = 0.000001|DisplayColor = 0|SessonMode = NR|OriginalWidth = 121920|OriginalHeight = 34291|ICC Profile = AT2	0.02466720815847656	0.9263663055125672	0.000537563093850113	0.171857755549657	10	11.8	42	-0.0004976446226967468	183	5.617486338797814	62	0.004333256054123602	0.018200940860215054	0.09752803390724282	0.012981033452807645	0.06758763695312174	0.9920199983984495	0.05415556206055303	0.9730886265460535	0.12671113560105154	0.9823456034456217	0.08992075365070466	0.9173385035760341	0.25593076262620557	7.01162463083002e-05	0.9160288197777433	0.11953014848216241	0.939364231614496	0.07540709096321187	238.59637739879284	23.873666343142805	239.7221462635763	18.273677356149143	240.48440260042375	17.285709239575024	0.10828214235818578	0.02498694393011447	0.0022911393992263674	0.0005174414304060059	0.003300483517835118	0.0012718077524453341	0.6599479166666666	0.2957512550941726	0.5065844907407407	0.1801227684919339	0.7619942920437407	0.08139805588963747	0.2957501232424554	0.2033631620098323	0.5206223353278848	0.15717031271902118	0.19826623858290313	0.21983282130931225	0.0001731254199434069	0.6176030345243774	0.10832214930063795	0.7206412163704632	0.10832214930063795	195.59321117803736	23.814730281616256	178.41261741175555	29.71532498010933	201.9912108566615	20.136920135064038	0.7303434298062473	0.10460211714360754	0.030402108897034718	0.014358149005815113	0.032186434977197795	0.017692405787936853	0.024932102591255882	0.011839488410503834	0.002452485083597258	0.0017880187993475852	0.01236819895142214	0.004622886439575537	205367	
WU-0006-T1-X1P2_PDX_40X.svs	 	40.0	aperio	4	50853	129480	0.25330000000000003	0.25330000000000003	Aperio Image Library v12.0.15 ..132080x50953 [0,100 129480x50853] (240x240) JPEG/RGB Q=70|AppMag = 40|StripeWidth = 2032|ScanScope ID = PATH-APERIOAT2|Filename = WU-0006-T1-X1P2_PDX_40X|Date = 02/19/21|Time = 10:13:31|Time Zone = GMT-06:00|User = 00000000-0000-0000-0000-000000000000|Parmset = None FP not on edge|MPP = 0.2533|Left = 24.754711|Top = 19.816420|LineCameraSkew = 0.000612|LineAreaXOffset = 0.002948|LineAreaYOffset = 0.007999|Focus Offset = 0.000000|DSR ID = path-AperioCopath|ImageID = 161999|Exposure Time = 45|Exposure Scale = 0.000001|DisplayColor = 0|SessonMode = NR|OriginalWidth = 132080|OriginalHeight = 50953|ICC Profile = AT2	0.0057575764174547794	0.9034579991045165	4.5373227203215905e-05	0.33905710155637236	59	37.69491525423729	442	-0.005452958426095833	592	2.222972972972973	57	0.003209161228650337	0.02687489192290763	0.1404416140368404	0.02145359562661133	0.08753172408672595	0.989811900443775	0.03904085001768258	0.9542781305257922	0.1413424474144297	0.9726155786207853	0.0910882360678223	0.8413893472137102	0.33842673983663146	4.4194931820199185e-05	0.7534286612579985	0.11540701919374083	0.9186285811677034	0.050766780745905994	234.15139276325866	15.92673742627777	234.28956499755662	12.020551454925359	234.15204488654615	14.264730032612428	0.032576573050200563	0.024671002720992097	0.003413002696230524	0.0010795661024324676	0.004152039945043158	0.00039820595762328227	1.0782881944444442	0.4561936325374838	0.7068831018518519	0.23714139828352943	0.6835175040849673	0.09910401428321972	0.20187953451860427	0.18505659122706236	0.42105186274849155	0.15682749565885992	0.1629756251394134	0.1655552735612489	0.0001582439753208677	0.7534286612579985	0.1147410883535553	0.79824631728643	0.1147410883535553	215.15598877849453	22.23290683686197	199.25140787372177	32.41187032238529	212.03475866503496	23.29955753946094	0.8057418806057195	0.10947701582853256	0.012680212909465456	0.011439230161565646	0.03334297823271734	0.03091740001969013	0.01370999063264256	0.007477807523732163	0.0020977029473490017	0.0023983826335902884	0.011779255425825036	0.0063799612999549	385688	
