BioProject,SampleID,CellType,CellType_ExtaInfo,Sequencing,Coarse,Fine
PRJEB14751,ERR1524380,Endothelial,HUVEC,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJEB14751,ERR1524381,Endothelial,HUVEC,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJEB14751,ERR1524382,Endothelial,HUVEC,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJEB14751,ERR1524383,Endothelial,HUVEC,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJEB36933,ERR3957599,Tregs,healthy,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJEB36933,ERR3957600,Tregs,healthy,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJEB36933,ERR3957601,Tregs,healthy,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJEB36933,ERR3957602,Tregs,healthy,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJEB36933,ERR3957603,Tregs,healthy,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJEB36933,ERR3957604,Tregs,healthy,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJEB36933,ERR3957607,Tregs,healthy,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJEB36933,ERR3957608,Tregs,healthy,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJEB36933,ERR3957609,Tregs,healthy,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJEB36933,ERR3957610,Tregs,healthy,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJNA218851,SRR975551,Colon,Primary,BulkPairedEnds,CRC,CRC
PRJNA218851,SRR975552,Colon,Primary,BulkPairedEnds,CRC,CRC
PRJNA218851,SRR975553,Colon,Primary,BulkPairedEnds,CRC,CRC
PRJNA218851,SRR975554,Colon,Primary,BulkPairedEnds,CRC,CRC
PRJNA272556,SRR1756565,Colon,COLO205,BulkPairedEnds,CRC,CRC
PRJNA272556,SRR1756566,Colon,HT29,BulkPairedEnds,CRC,CRC
PRJNA272556,SRR1756567,Colon,SW480,BulkPairedEnds,CRC,CRC
PRJNA272556,SRR1756568,Colon,HCT15,BulkPairedEnds,CRC,CRC
PRJNA272556,SRR1756569,Colon,HCT116,BulkPairedEnds,CRC,CRC
PRJNA272556,SRR1756570,Colon,LoVo,BulkPairedEnds,CRC,CRC
PRJNA272556,SRR1756571,Colon,LS174T,BulkPairedEnds,CRC,CRC
PRJNA272556,SRR1756572,Colon,CACO2,BulkPairedEnds,CRC,CRC
PRJNA272556,SRR1756573,Colon,RKO,BulkPairedEnds,CRC,CRC
PRJNA327180,SRR3727797,Fibroblasts,Normal,BulkPairedEnds,fibroblasts,fibroblasts
PRJNA327180,SRR3727798,Fibroblasts,Normal,BulkPairedEnds,fibroblasts,fibroblasts
PRJNA327180,SRR3727799,Fibroblasts,Normal,BulkPairedEnds,fibroblasts,fibroblasts
PRJNA327180,SRR3727806,Fibroblasts,Cancer,BulkPairedEnds,fibroblasts,fibroblasts
PRJNA327180,SRR3727807,Fibroblasts,Cancer,BulkPairedEnds,fibroblasts,fibroblasts
PRJNA327180,SRR3727808,Fibroblasts,Cancer,BulkPairedEnds,fibroblasts,fibroblasts
PRJNA338944,SRR4031567,Fibroblasts,Cancer,BulkPairedEnds,fibroblasts,fibroblasts
PRJNA338944,SRR4031568,Fibroblasts,Cancer,BulkPairedEnds,fibroblasts,fibroblasts
PRJNA338944,SRR4031569,Fibroblasts,Cancer,BulkPairedEnds,fibroblasts,fibroblasts
PRJNA338944,SRR4031570,Fibroblasts,Cancer,BulkPairedEnds,fibroblasts,fibroblasts
PRJNA352224,SRR4841384,mDCs,unstimulated,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA352224,SRR4841385,mDCs,unstimulated,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA352224,SRR4841386,mDCs,unstimulated,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA352224,SRR4841387,mDCs,GM-CSF,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA352224,SRR4841388,mDCs,GM-CSF,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA352224,SRR4841389,mDCs,GM-CSF,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA352224,SRR4841390,mDCs,pRNA,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA352224,SRR4841391,mDCs,pRNA,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA352224,SRR4841392,mDCs,pRNA,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA418779,SRR6298258,CD8.naive,DZQV,BulkPairedEnds,CD8.T.cells,naive.CD8.T.cells
PRJNA418779,SRR6298259,CD8.CM,DZQV,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298260,CD8.EM,DZQV,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298261,CD8.TE,DZQV,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298262,MAIT,DZQV,BulkPairedEnds,CD8.T.cells,NA
PRJNA418779,SRR6298265,TFH,DZQV,BulkPairedEnds,CD4.T.cells,NA
PRJNA418779,SRR6298266,Treg,DZQV,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJNA418779,SRR6298267,Th1,DZQV,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298268,Th1/Th17,DZQV,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298269,Th17,DZQV,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298270,Th2,DZQV,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298271,CD4.naive,DZQV,BulkPairedEnds,CD4.T.cells,naive.CD4.T.cells
PRJNA418779,SRR6298273,B.naive,DZQV,BulkPairedEnds,B.cells,naive.B.cells
PRJNA418779,SRR6298274,B.NSM,DZQV,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298275,B.Ex,DZQV,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298276,B.SM,DZQV,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298278,C.mono,DZQV,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298279,I.mono,DZQV,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298280,NC.mono,DZQV,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298281,NK,DZQV,BulkPairedEnds,NK.cells,NK.cells
PRJNA418779,SRR6298283,mDC,DZQV,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA418779,SRR6298284,Neutrophils,DZQV,BulkPairedEnds,neutrophils,neutrophils
PRJNA418779,SRR6298286,CD8.naive,925L,BulkPairedEnds,CD8.T.cells,naive.CD8.T.cells
PRJNA418779,SRR6298287,CD8.CM,925L,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298288,CD8.EM,925L,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298289,CD8.TE,925L,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298290,MAIT,925L,BulkPairedEnds,CD8.T.cells,NA
PRJNA418779,SRR6298293,TFH,925L,BulkPairedEnds,CD4.T.cells,NA
PRJNA418779,SRR6298294,Treg,925L,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJNA418779,SRR6298295,Th1,925L,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298296,Th1/Th17,925L,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298297,Th17,925L,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298298,Th2,925L,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298299,CD4.naive,925L,BulkPairedEnds,CD4.T.cells,naive.CD4.T.cells
PRJNA418779,SRR6298300,CD4.TE,925L,BulkPairedEnds,CD4.T.cells,NA
PRJNA418779,SRR6298302,B.naive,925L,BulkPairedEnds,B.cells,naive.B.cells
PRJNA418779,SRR6298303,B.NSM,925L,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298304,B.Ex,925L,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298305,B.SM,925L,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298307,C.mono,925L,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298308,I.mono,925L,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298309,NC.mono,925L,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298310,NK,925L,BulkPairedEnds,NK.cells,NK.cells
PRJNA418779,SRR6298312,mDC,925L,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA418779,SRR6298313,Neutrophils,925L,BulkPairedEnds,neutrophils,neutrophils
PRJNA418779,SRR6298315,CD8.naive,9JD4,BulkPairedEnds,CD8.T.cells,naive.CD8.T.cells
PRJNA418779,SRR6298316,CD8.CM,9JD4,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298317,CD8.EM,9JD4,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298318,CD8.TE,9JD4,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298319,MAIT,9JD4,BulkPairedEnds,CD8.T.cells,NA
PRJNA418779,SRR6298322,TFH,9JD4,BulkPairedEnds,CD4.T.cells,NA
PRJNA418779,SRR6298323,Treg,9JD4,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJNA418779,SRR6298324,Th1,9JD4,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298325,Th1/Th17,9JD4,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298326,Th17,9JD4,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298327,Th2,9JD4,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298328,CD4.naive,9JD4,BulkPairedEnds,CD4.T.cells,naive.CD4.T.cells
PRJNA418779,SRR6298329,CD4.TE,9JD4,BulkPairedEnds,CD4.T.cells,NA
PRJNA418779,SRR6298331,B.naive,9JD4,BulkPairedEnds,B.cells,naive.B.cells
PRJNA418779,SRR6298332,B.NSM,9JD4,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298333,B.Ex,9JD4,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298334,B.SM,9JD4,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298336,C.mono,9JD4,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298337,I.mono,9JD4,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298338,NC.mono,9JD4,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298339,NK,9JD4,BulkPairedEnds,NK.cells,NK.cells
PRJNA418779,SRR6298341,mDC,9JD4,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA418779,SRR6298342,Neutrophils,9JD4,BulkPairedEnds,neutrophils,neutrophils
PRJNA418779,SRR6298344,CD8.naive,G4YW,BulkPairedEnds,CD8.T.cells,naive.CD8.T.cells
PRJNA418779,SRR6298345,CD8.CM,G4YW,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298346,CD8.EM,G4YW,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298353,CD8.TE,G4YW,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA418779,SRR6298354,MAIT,G4YW,BulkPairedEnds,CD8.T.cells,NA
PRJNA418779,SRR6298357,TFH,G4YW,BulkPairedEnds,CD4.T.cells,NA
PRJNA418779,SRR6298358,Treg,G4YW,BulkPairedEnds,CD4.T.cells,regulatory.T.cells
PRJNA418779,SRR6298359,Th1,G4YW,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298360,Th1/Th17,G4YW,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298361,Th17,G4YW,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298362,Th2,G4YW,BulkPairedEnds,CD4.T.cells,memory.CD4.T.cells
PRJNA418779,SRR6298363,CD4.naive,G4YW,BulkPairedEnds,CD4.T.cells,naive.CD4.T.cells
PRJNA418779,SRR6298365,B.naive,G4YW,BulkPairedEnds,B.cells,naive.B.cells
PRJNA418779,SRR6298366,B.NSM,G4YW,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298367,B.Ex,G4YW,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298368,B.SM,G4YW,BulkPairedEnds,B.cells,memory.B.cells
PRJNA418779,SRR6298370,C.mono,G4YW,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298371,I.mono,G4YW,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298372,NC.mono,G4YW,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA418779,SRR6298373,NK,G4YW,BulkPairedEnds,NK.cells,NK.cells
PRJNA418779,SRR6298375,mDC,G4YW,BulkPairedEnds,monocytic.lineage,myeloid.dendritic.cells
PRJNA418779,SRR6298376,Neutrophils,G4YW,BulkPairedEnds,neutrophils,neutrophils
PRJNA430418,SRR6500976,Endothelial,Unstimulated,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA430418,SRR6500977,Endothelial,Unstimulated,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA430418,SRR6500978,Endothelial,Unstimulated,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA449980,SRR6997097,macrophages,IL10-healthy,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA449980,SRR6997098,macrophages,IL10-healthy,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA449980,SRR6997110,monocytes,healthy,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA449980,SRR6997111,monocytes,healthy,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA449980,SRR6997112,monocytes,healthy,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA449980,SRR6997113,monocytes,healthy,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA449980,SRR6997114,macrophages,M-CSF-healthy,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA449980,SRR6997115,macrophages,M-CSF-healthy,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA449980,SRR6997126,macrophages,IL4-healthy,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA449980,SRR6997127,macrophages,IL4-healthy,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA449980,SRR6997128,macrophages,LPS-IFNr-healthy,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA449980,SRR6997129,macrophages,LPS-IFNr-healthy,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA471906,SRR7180204,Endothelial,Kidney,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA471906,SRR7180205,Endothelial,Lung,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA471906,SRR7180206,Endothelial,Liver,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA471906,SRR7180207,Endothelial,Heart,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA471906,SRR7180208,Endothelial,Kidney,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA471906,SRR7180209,Endothelial,Lung,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA471906,SRR7180210,Endothelial,Liver,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA471906,SRR7180211,Endothelial,Heart,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA471906,SRR7180212,Endothelial,Kidney,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA471906,SRR7180213,Endothelial,Lung,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA471906,SRR7180214,Endothelial,Liver,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA471906,SRR7180215,Endothelial,Heart,BulkPairedEnds,endothelial.cells,endothelial.cells
PRJNA483877,SRR7631625,Monocytes,Breast-Cancer,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA483877,SRR7631626,Monocytes,Breast-Cancer,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA483877,SRR7631627,Monocytes,Breast-Cancer,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA483877,SRR7631628,Monocytes,Breast-Cancer,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA483877,SRR7631629,Monocytes,Breast-Cancer,BulkPairedEnds,monocytic.lineage,monocytes
PRJNA483877,SRR7631640,Macrophages,Breast-Cancer,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA483877,SRR7631641,Macrophages,Breast-Cancer,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA483877,SRR7631651,Macrophages,Breast-Cancer,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA483877,SRR7631653,Macrophages,Breast-Cancer,BulkPairedEnds,monocytic.lineage,macrophages
PRJNA484735,SRR11007061,T.CD8,Unstimulated,BulkPairedEnds,CD8.T.cells,NA
PRJNA484735,SRR11007062,T.CD8,Stimulated,BulkPairedEnds,CD8.T.cells,NA
PRJNA484735,SRR11007063,T.CD8.CM,Unstimulated,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA484735,SRR11007064,T.CD8.CM,Stimulated,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA484735,SRR11007065,T.CD8.EM,Unstimulated,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA484735,SRR11007066,T.CD8.EM,Stimulated,BulkPairedEnds,CD8.T.cells,memory.CD8.T.cells
PRJNA484735,SRR11007067,T.CD8.Naive,Unstimulated,BulkPairedEnds,CD8.T.cells,naive.CD8.T.cells
PRJNA484735,SRR11007068,T.CD8.Naive,Stimulated,BulkPairedEnds,CD8.T.cells,naive.CD8.T.cells
