phenotype	ignore.case
regulatory	FALSE
Treg	FALSE
T.reg	FALSE
Treg	FALSE
T.Reg	FALSE
FOXP3	FALSE
B.cell	FALSE
memory	TRUE
naive	TRUE
B.Cell	FALSE
Bcell	FALSE
Bcell	FALSE
CD19	FALSE
CD27	FALSE
PC	FALSE
plasma	TRUE
CD20	FALSE
CD138	FALSE
CD8	FALSE
T.cell	FALSE
T.Cell	FALSE
Tcell	FALSE
Tcell	FALSE
CD3	FALSE
CD45RA	FALSE
CD4	FALSE
CD45RO	FALSE
CD69	FALSE
CD25	FALSE
resting	TRUE
activated	TRUE
follicular.helper	TRUE
CXCR5	FALSE
ICOS	FALSE
CD25	FALSE
gamma.delta	TRUE
NK	FALSE
natural.killer	TRUE
CD56	FALSE
monocyte	TRUE
macrophage	TRUE
dendritic	TRUE
DC	FALSE
mast	TRUE
eos	TRUE
eosinophil	TRUE
PMN	FALSE
neutrophil	TRUE
Th1	TRUE
Th2	TRUE
Th17	TRUE
fibroblast	TRUE
CAF	FALSE
CD14	FALSE
CD28	FALSE
GC	FALSE
germinal	TRUE
Tgd	TRUE
##Th	FALSE
mono	TRUE
CD40	FALSE